ts_ns,syscall,proc_name,tid,evt_cpu
1777962515673660218,container,container:464e43f50bf1,-1,0
1777962520892842461,read,bash,11293,1
1777962520892857101,pselect6,bash,11293,1
1777962520892862564,read,bash,11293,1
1777962520892864912,pselect6,bash,11293,1
1777962520892866912,read,bash,11293,1
1777962520892870614,pselect6,bash,11293,1
1777962520892871758,read,bash,11293,1
1777962520892873131,pselect6,bash,11293,1
1777962520892874970,read,bash,11293,1
1777962520892880096,pselect6,bash,11293,1
1777962520892880114,read,bash,11293,1
1777962520892886325,pselect6,bash,11293,1
1777962520892886325,read,bash,11293,1
1777962520892891181,pselect6,bash,11293,1
1777962520892892743,read,bash,11293,1
1777962520892895460,pselect6,bash,11293,1
1777962520892897899,read,bash,11293,1
1777962520892899441,pselect6,bash,11293,1
1777962520892901481,read,bash,11293,1
1777962520892904138,read,bash,11293,1
1777962520892904138,pselect6,bash,11293,1
1777962520892908436,pselect6,bash,11293,1
1777962520892910337,read,bash,11293,1
1777962520892910337,pselect6,bash,11293,1
1777962520892911469,read,bash,11293,1
1777962520892913738,pselect6,bash,11293,1
1777962520892915867,read,bash,11293,1
1777962520892918086,pselect6,bash,11293,1
1777962520892923143,read,bash,11293,1
1777962520892924307,pselect6,bash,11293,1
1777962520892926785,read,bash,11293,1
1777962520892926785,pselect6,bash,11293,1
1777962520892928623,read,bash,11293,1
1777962520892930832,pselect6,bash,11293,1
1777962520892936387,read,bash,11293,1
1777962520892936725,pselect6,bash,11293,1
1777962520892937250,read,bash,11293,1
1777962520892939499,pselect6,bash,11293,1
1777962520892941539,read,bash,11293,1
1777962520892945652,pselect6,bash,11293,1
1777962520892948518,read,bash,11293,1
1777962520892950219,pselect6,bash,11293,1
1777962520892952766,read,bash,11293,1
1777962520892955174,pselect6,bash,11293,1
1777962520892957254,read,bash,11293,1
1777962520892959493,pselect6,bash,11293,1
1777962520892961244,read,bash,11293,1
1777962520892962856,pselect6,bash,11293,1
1777962520892965374,read,bash,11293,1
1777962520892965374,pselect6,bash,11293,1
1777962520892966406,read,bash,11293,1
1777962520892968625,pselect6,bash,11293,1
1777962520892970705,read,bash,11293,1
1777962520892972914,pselect6,bash,11293,1
1777962520892976777,read,bash,11293,1
1777962520892977023,pselect6,bash,11293,1
1777962520892982070,read,bash,11293,1
1777962520892983951,pselect6,bash,11293,1
1777962520892985493,read,bash,11293,1
1777962520892987901,read,bash,11293,1
1777962520892987901,pselect6,bash,11293,1
1777962520892989412,pselect6,bash,11293,1
1777962520892991481,read,bash,11293,1
1777962520892993701,pselect6,bash,11293,1
1777962520892995761,read,bash,11293,1
1777962520892997970,pselect6,bash,11293,1
1777962520893000040,read,bash,11293,1
1777962520893002259,pselect6,bash,11293,1
1777962520893004269,read,bash,11293,1
1777962520893006438,pselect6,bash,11293,1
1777962520893008388,read,bash,11293,1
1777962520893010517,pselect6,bash,11293,1
1777962520893012468,read,bash,11293,1
1777962520893014587,pselect6,bash,11293,1
1777962520893016537,read,bash,11293,1
1777962520893018647,pselect6,bash,11293,1
1777962520893020597,read,bash,11293,1
1777962520893022776,pselect6,bash,11293,1
1777962520893024737,read,bash,11293,1
1777962520893026836,pselect6,bash,11293,1
1777962520893028786,read,bash,11293,1
1777962520893030906,pselect6,bash,11293,1
1777962520893032856,read,bash,11293,1
1777962520893035055,pselect6,bash,11293,1
1777962520893037055,read,bash,11293,1
1777962520893043796,pselect6,bash,11293,1
1777962520893044981,read,bash,11293,1
1777962520893048523,pselect6,bash,11293,1
1777962520893049548,read,bash,11293,1
1777962520893049548,pselect6,bash,11293,1
1777962520893050221,read,bash,11293,1
1777962520893057170,pselect6,bash,11293,1
1777962520893058065,read,bash,11293,1
1777962520893058065,pselect6,bash,11293,1
1777962520893058848,read,bash,11293,1
1777962520893060987,pselect6,bash,11293,1
1777962520893067041,read,bash,11293,1
1777962520893068464,pselect6,bash,11293,1
1777962520893071976,read,bash,11293,1
1777962520893074434,pselect6,bash,11293,1
1777962520893075827,read,bash,11293,1
1777962520893075827,pselect6,bash,11293,1
1777962520893076072,read,bash,11293,1
1777962520893099749,write,bash,11293,1
1777962520893114635,pselect6,bash,11293,1
1777962520893117560,switch,bash,11293,1
1777962521424605194,read,bash,11293,1
1777962521424635882,write,bash,11293,1
1777962521424643892,write,bash,11293,1
1777962521424652300,write,bash,11293,1
1777962521424655414,ioctl,bash,11293,1
1777962521424659345,ioctl,bash,11293,1
1777962521424663336,ioctl,bash,11293,1
1777962521424665376,rt_sigaction,bash,11293,1
1777962521424667396,rt_sigaction,bash,11293,1
1777962521424669057,rt_sigaction,bash,11293,1
1777962521424670162,rt_sigaction,bash,11293,1
1777962521424671754,rt_sigaction,bash,11293,1
1777962521424761579,newfstatat,bash,11293,1
1777962521424785818,newfstatat,bash,11293,1
1777962521424792873,newfstatat,bash,11293,1
1777962521424796763,newfstatat,bash,11293,1
1777962521424800166,newfstatat,bash,11293,1
1777962521424809023,newfstatat,bash,11293,1
1777962521424813491,geteuid,bash,11293,1
1777962521424815232,getegid,bash,11293,1
1777962521424816456,getuid,bash,11293,1
1777962521424817730,getgid,bash,11293,1
1777962521424818914,access,bash,11293,1
1777962521424831601,newfstatat,bash,11293,1
1777962521424835670,geteuid,bash,11293,1
1777962521424836556,getegid,bash,11293,1
1777962521424837342,getuid,bash,11293,1
1777962521424838168,getgid,bash,11293,1
1777962521424838964,access,bash,11293,1
1777962521424843661,newfstatat,bash,11293,1
1777962521424847710,newfstatat,bash,11293,1
1777962521424851641,geteuid,bash,11293,1
1777962521424852467,getegid,bash,11293,1
1777962521424853233,getuid,bash,11293,1
1777962521424854010,getgid,bash,11293,1
1777962521424854776,access,bash,11293,1
1777962521424858906,newfstatat,bash,11293,1
1777962521424862826,geteuid,bash,11293,1
1777962521424863622,getegid,bash,11293,1
1777962521424864378,getuid,bash,11293,1
1777962521424865155,getgid,bash,11293,1
1777962521424865921,access,bash,11293,1
1777962521424897075,rt_sigprocmask,bash,11293,1
1777962521424898697,rt_sigprocmask,bash,11293,1
1777962521424900289,rt_sigaction,bash,11293,1
1777962521424901883,rt_sigprocmask,bash,11293,1
1777962521424902907,rt_sigprocmask,bash,11293,1
1777962521424904450,pipe,bash,11293,1
1777962521424924082,clone,bash,11293,1
1777962521425112487,rt_sigaction,bash,11293,1
1777962521425118298,setpgid,bash,11293,1
1777962521425135791,rt_sigprocmask,bash,11293,1
1777962521425177627,rt_sigprocmask,bash,11293,1
1777962521425180294,close,bash,11293,1
1777962521425180294,close,bash,11293,1
1777962521425184649,ioctl,bash,11293,1
1777962521425190613,rt_sigprocmask,bash,11293,1
1777962521425190613,rt_sigprocmask,bash,11293,1
1777962521425190613,ioctl,bash,11293,1
1777962521425191327,rt_sigprocmask,bash,11293,1
1777962521425192451,rt_sigprocmask,bash,11293,1
1777962521425198740,wait4,bash,11293,1
1777962521425206153,switch,bash,11293,1
1777962521425224435,set_robust_list,bash,11303,0
1777962521425252924,getpid,bash,11303,0
1777962521425261859,rt_sigprocmask,bash,11303,0
1777962521425268775,rt_sigaction,bash,11303,0
1777962521425270208,rt_sigaction,bash,11303,0
1777962521425271193,rt_sigaction,bash,11303,0
1777962521425272317,setpgid,bash,11303,0
1777962521425274894,rt_sigprocmask,bash,11303,0
1777962521425279591,ioctl,bash,11303,0
1777962521425285045,rt_sigprocmask,bash,11303,0
1777962521425286667,close,bash,11303,0
1777962521425293244,read,bash,11303,0
1777962521425296239,close,bash,11303,0
1777962521425312996,rt_sigaction,bash,11303,0
1777962521425314289,rt_sigaction,bash,11303,0
1777962521425315205,rt_sigaction,bash,11303,0
1777962521425316100,rt_sigaction,bash,11303,0
1777962521425316966,rt_sigaction,bash,11303,0
1777962521425317841,rt_sigaction,bash,11303,0
1777962521425318707,rt_sigaction,bash,11303,0
1777962521425319712,rt_sigaction,bash,11303,0
1777962521425320687,rt_sigaction,bash,11303,0
1777962521425321563,rt_sigaction,bash,11303,0
1777962521425322558,rt_sigaction,bash,11303,0
1777962521425323444,rt_sigaction,bash,11303,0
1777962521425324548,rt_sigaction,bash,11303,0
1777962521425325533,rt_sigaction,bash,11303,0
1777962521425326578,rt_sigaction,bash,11303,0
1777962521425331772,rt_sigaction,bash,11303,0
1777962521425334679,rt_sigaction,bash,11303,0
1777962521425335912,rt_sigaction,bash,11303,0
1777962521425337116,rt_sigaction,bash,11303,0
1777962521425489988,switch,bash,11303,0
1777962521425564955,socket,bash,11303,0
1777962521425622232,switch,bash,11303,0
1777962521425671169,connect,bash,11303,0
1777962521426371594,dup,bash,11303,0
1777962521426385435,dup,bash,11303,0
1777962521426385435,close,bash,11303,0
1777962521426386002,dup,bash,11303,0
1777962521426387784,fcntl,bash,11303,0
1777962521426393944,execve,bash,11303,0
1777962521426418113,switch,bash,11303,0
1777962521427329243,brk,bash,11303,0
1777962521427454691,arch_prctl,bash,11303,0
1777962521427505629,mmap,bash,11303,0
1777962521427517888,access,bash,11303,0
1777962521427532415,openat,bash,11303,0
1777962521427548844,newfstatat,bash,11303,0
1777962521427557242,mmap,bash,11303,0
1777962521427562705,close,bash,11303,0
1777962521427570068,openat,bash,11303,0
1777962521427586010,read,bash,11303,0
1777962521427592547,newfstatat,bash,11303,0
1777962521427603583,mmap,bash,11303,0
1777962521427604717,mmap,bash,11303,0
1777962521427618260,mmap,bash,11303,0
1777962521427629285,mmap,bash,11303,0
1777962521427645047,close,bash,11303,0
1777962521427649475,openat,bash,11303,0
1777962521427662201,read,bash,11303,0
1777962521427666012,pread,bash,11303,0
1777962521427669067,pread,bash,11303,0
1777962521427671077,pread,bash,11303,0
1777962521427673137,newfstatat,bash,11303,0
1777962521427677814,pread,bash,11303,0
1777962521427680401,mmap,bash,11303,0
1777962521427684253,mprotect,bash,11303,0
1777962521427691904,mmap,bash,11303,0
1777962521427701775,mmap,bash,11303,0
1777962521427712840,mmap,bash,11303,0
1777962521427716432,mmap,bash,11303,0
1777962521427734503,close,bash,11303,0
1777962521427759220,mmap,bash,11303,0
1777962521427768315,arch_prctl,bash,11303,0
1777962521427769648,set_tid_address,bash,11303,0
1777962521427770932,set_robust_list,bash,11303,0
1777962521427772136,<unknown>,bash,11303,0
1777962521427859861,mprotect,bash,11303,0
1777962521427942690,mprotect,bash,11303,0
1777962521428097114,mprotect,bash,11303,0
1777962521428103154,mprotect,bash,11303,0
1777962521428124130,prlimit,bash,11303,0
1777962521428144071,munmap,bash,11303,0
1777962521428194700,openat,bash,11303,0
1777962521428213766,close,bash,11303,0
1777962521428240901,getrandom,bash,11303,0
1777962521428246861,brk,bash,11303,0
1777962521428248254,brk,bash,11303,0
1777962521428280604,getuid,bash,11303,0
1777962521428281171,getgid,bash,11303,0
1777962521428288912,geteuid,bash,11303,0
1777962521428290405,getegid,bash,11303,0
1777962521428294256,rt_sigprocmask,bash,11303,0
1777962521428310745,gettimeofday,bash,11303,0
1777962521428323750,sysinfo,bash,11303,0
1777962521428354746,rt_sigaction,bash,11303,0
1777962521428357105,rt_sigaction,bash,11303,0
1777962521428358189,rt_sigaction,bash,11303,0
1777962521428359204,rt_sigaction,bash,11303,0
1777962521428360209,rt_sigaction,bash,11303,0
1777962521428361224,rt_sigaction,bash,11303,0
1777962521428362299,rt_sigaction,bash,11303,0
1777962521428363304,rt_sigaction,bash,11303,0
1777962521428375891,rt_sigaction,bash,11303,0
1777962521428376578,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428377812,rt_sigaction,bash,11303,0
1777962521428378617,rt_sigaction,bash,11303,0
1777962521428386349,rt_sigaction,bash,11303,0
1777962521428386797,rt_sigaction,bash,11303,0
1777962521428387822,rt_sigaction,bash,11303,0
1777962521428389364,rt_sigaction,bash,11303,0
1777962521428390220,rt_sigaction,bash,11303,0
1777962521428391275,rt_sigaction,bash,11303,0
1777962521428392230,rt_sigaction,bash,11303,0
1777962521428392230,rt_sigaction,bash,11303,0
1777962521428392230,rt_sigprocmask,bash,11303,0
1777962521428392230,rt_sigaction,bash,11303,0
1777962521428392230,rt_sigaction,bash,11303,0
1777962521428392230,rt_sigaction,bash,11303,0
1777962521428402032,rt_sigaction,bash,11303,0
1777962521428403136,rt_sigaction,bash,11303,0
1777962521428403136,rt_sigaction,bash,11303,0
1777962521428403136,rt_sigaction,bash,11303,0
1777962521428403554,uname,bash,11303,0
1777962521428414141,socket,bash,11303,0
1777962521428434649,connect,bash,11303,0
1777962521428456661,close,bash,11303,0
1777962521428473417,socket,bash,11303,0
1777962521428475228,connect,bash,11303,0
1777962521428486084,close,bash,11303,0
1777962521428490552,newfstatat,bash,11303,0
1777962521428499638,newfstatat,bash,11303,0
1777962521428505021,openat,bash,11303,0
1777962521428518404,newfstatat,bash,11303,0
1777962521428526374,read,bash,11303,0
1777962521428543340,read,bash,11303,0
1777962521428547848,newfstatat,bash,11303,0
1777962521428552197,close,bash,11303,0
1777962521428562018,openat,bash,11303,0
1777962521428571809,newfstatat,bash,11303,0
1777962521428580615,lseek,bash,11303,0
1777962521428584048,read,bash,11303,0
1777962521428585790,close,bash,11303,0
1777962521428616388,newfstatat,bash,11303,0
1777962521428620289,newfstatat,bash,11303,0
1777962521428626468,getpid,bash,11303,0
1777962521428638965,getppid,bash,11303,0
1777962521428644579,newfstatat,bash,11303,0
1777962521428649832,newfstatat,bash,11303,0
1777962521428655614,newfstatat,bash,11303,0
1777962521428659852,newfstatat,bash,11303,0
1777962521428669196,newfstatat,bash,11303,0
1777962521428670261,newfstatat,bash,11303,0
1777962521428680669,geteuid,bash,11303,0
1777962521428681365,getegid,bash,11303,0
1777962521428682669,getuid,bash,11303,0
1777962521428682938,access,bash,11303,0
1777962521428682938,getgid,bash,11303,0
1777962521428691426,newfstatat,bash,11303,0
1777962521428693794,geteuid,bash,11303,0
1777962521428693794,getegid,bash,11303,0
1777962521428693794,getgid,bash,11303,0
1777962521428693794,access,bash,11303,0
1777962521428693794,getuid,bash,11303,0
1777962521428696202,newfstatat,bash,11303,0
1777962521428700153,newfstatat,bash,11303,0
1777962521428703974,geteuid,bash,11303,0
1777962521428704999,getegid,bash,11303,0
1777962521428705944,getuid,bash,11303,0
1777962521428706869,getgid,bash,11303,0
1777962521428707814,access,bash,11303,0
1777962521428711795,newfstatat,bash,11303,0
1777962521428715705,geteuid,bash,11303,0
1777962521428716561,getegid,bash,11303,0
1777962521428717327,getuid,bash,11303,0
1777962521428718103,getgid,bash,11303,0
1777962521428718889,access,bash,11303,0
1777962521428744135,gettimeofday,bash,11303,0
1777962521428745398,getpid,bash,11303,0
1777962521428746294,getppid,bash,11303,0
1777962521428747289,gettimeofday,bash,11303,0
1777962521428748294,getpid,bash,11303,0
1777962521428749110,getppid,bash,11303,0
1777962521428790226,ioctl,bash,11303,0
1777962521428790226,getpgrp,bash,11303,0
1777962521428790982,openat,bash,11303,0
1777962521428800017,prlimit,bash,11303,0
1777962521428804604,fcntl,bash,11303,0
1777962521428806415,dup,bash,11303,0
1777962521428808077,close,bash,11303,0
1777962521428809271,ioctl,bash,11303,0
1777962521428811460,getpid,bash,11303,0
1777962521428812336,ioctl,bash,11303,0
