ts_ns,syscall,proc_name,tid,evt_cpu,label
1780278280310937479,epoll_wait,node,170295,0,0
1780278280310950385,clock_gettime,node,170295,0,0
1780278280310953918,clock_gettime,node,170295,0,0
1780278280310956823,clock_gettime,node,170295,0,0
1780278280310957530,clock_gettime,node,170295,0,0
1780278280311012765,getrusage,node,170295,0,0
1780278280311022905,getrusage,node,170295,0,0
1780278280311110232,futex,node,170295,0,0
1780278280311119645,futex,node,170295,0,0
1780278280311122013,switch,node,170295,0,0
1780278280311124780,futex,node,170304,0,0
1780278280311136333,futex,node,170304,0,0
1780278280311141985,switch,node,170304,0,0
1780278280311144243,futex,node,170295,0,0
1780278280311146990,futex,node,170295,0,0
1780278280311148224,switch,node,170295,0,0
1780278280311149408,futex,node,170304,0,0
1780278280311161020,open,node,170304,0,0
1780278280311220068,open,node,170304,0,0
1780278280311222734,fcntl,node,170304,0,0
1780278280311227302,fcntl,node,170304,0,0
1780278280311229242,write,node,170304,0,0
1780278280311235998,write,node,170304,0,0
1780278280311238376,futex,node,170304,0,0
1780278280311241451,switch,node,170304,0,0
1780278280311252735,futex,node,170295,0,0
1780278280311266826,futex,node,170295,0,0
1780278280311271851,clock_gettime,node,170295,0,0
1780278280311273204,clock_gettime,node,170295,0,0
1780278280311347132,futex,node,170301,1,0
1780278280311360167,open,node,170301,1,0
1780278280311368859,open,node,170295,0,0
1780278280311394059,open,node,170295,0,0
1780278280311396606,open,node,170301,1,0
1780278280311399990,read,node,170295,0,0
1780278280311399990,fcntl,node,170301,1,0
1780278280311403084,fcntl,node,170301,1,0
1780278280311407900,getdents64,node,170301,1,0
1780278280311422085,read,node,170295,0,0
1780278280311425558,close,node,170295,0,0
1780278280311429986,close,node,170295,0,0
1780278280311433175,getdents64,node,170301,1,0
1780278280311441792,getdents64,node,170301,1,0
1780278280311443245,getdents64,node,170301,1,0
1780278280311444519,close,node,170301,1,0
1780278280311447812,close,node,170301,1,0
1780278280311461197,futex,node,170301,1,0
1780278280311493018,switch,node,170301,1,0
1780278280311501938,clock_gettime,node,170295,0,0
1780278280311504487,clock_gettime,node,170295,0,0
1780278280311507074,epoll_wait,node,170295,0,0
1780278280311511193,epoll_wait,node,170295,0,0
1780278280311512298,clock_gettime,node,170295,0,0
1780278280311513293,clock_gettime,node,170295,0,0
1780278280311514606,read,node,170295,0,0
1780278280311517522,read,node,170295,0,0
1780278280311533811,futex,node,170295,0,0
1780278280311541781,futex,node,170295,0,0
1780278280311544398,switch,node,170295,0,0
1780278280311547174,futex,node,170303,0,0
1780278280311558628,futex,node,170303,0,0
1780278280311562718,switch,node,170303,0,0
1780278280311564807,futex,node,170295,0,0
1780278280311567275,futex,node,170295,0,0
1780278280311568479,switch,node,170295,0,0
1780278280311569653,futex,node,170303,0,0
1780278280311572200,fstat,node,170303,0,0
1780278280311578290,fstat,node,170303,0,0
1780278280311579444,write,node,170303,0,0
1780278280311581285,write,node,170303,0,0
1780278280311582967,futex,node,170303,0,0
1780278280311585265,switch,node,170303,0,0
1780278280311629795,clock_gettime,node,170295,0,0
1780278280311630949,clock_gettime,node,170295,0,0
1780278280311651756,clock_gettime,node,170295,0,0
1780278280311652682,clock_gettime,node,170295,0,0
1780278280311653915,clock_gettime,node,170295,0,0
1780278280311654652,clock_gettime,node,170295,0,0
1780278280311655657,epoll_wait,node,170295,0,0
1780278280311657647,epoll_wait,node,170295,0,0
1780278280311658333,clock_gettime,node,170295,0,0
1780278280311659080,clock_gettime,node,170295,0,0
1780278280311659876,read,node,170295,0,0
1780278280311661527,read,node,170295,0,0
1780278280311700106,futex,node,170295,0,0
1780278280311705002,futex,node,170295,0,0
1780278280311706345,switch,node,170295,0,0
1780278280311708126,futex,node,170302,0,0
1780278280311718803,futex,node,170302,0,0
1780278280311721569,switch,node,170302,0,0
1780278280311723540,futex,node,170295,0,0
1780278280311725818,futex,node,170295,0,0
1780278280311726724,switch,node,170295,0,0
1780278280311727948,futex,node,170302,0,0
1780278280311729798,read,node,170302,0,0
1780278280311758705,read,node,170302,0,0
1780278280311760307,write,node,170302,0,0
1780278280311761710,write,node,170302,0,0
1780278280311762974,futex,node,170302,0,0
1780278280311765153,switch,node,170302,0,0
1780278280311769332,clock_gettime,node,170295,0,0
1780278280311770367,clock_gettime,node,170295,0,0
1780278280311771313,clock_gettime,node,170295,0,0
1780278280311772009,clock_gettime,node,170295,0,0
1780278280311772835,epoll_wait,node,170295,0,0
1780278280311774248,epoll_wait,node,170295,0,0
1780278280311774935,clock_gettime,node,170295,0,0
1780278280311775641,clock_gettime,node,170295,0,0
1780278280311776377,read,node,170295,0,0
1780278280311777571,read,node,170295,0,0
1780278280311800379,futex,node,170295,0,0
1780278280311803215,futex,node,170295,0,0
1780278280311804289,switch,node,170295,0,0
1780278280311805613,futex,node,170304,0,0
1780278280311815752,futex,node,170304,0,0
1780278280311817852,switch,node,170304,0,0
1780278280311819583,futex,node,170295,0,0
1780278280311821762,futex,node,170295,0,0
1780278280311822658,switch,node,170295,0,0
1780278280311823842,futex,node,170304,0,0
1780278280311825235,read,node,170304,0,0
1780278280311826678,read,node,170304,0,0
1780278280311827832,write,node,170304,0,0
1780278280311828927,write,node,170304,0,0
1780278280311830031,futex,node,170304,0,0
1780278280311832051,switch,node,170304,0,0
1780278280311835414,clock_gettime,node,170295,0,0
1780278280311836270,clock_gettime,node,170295,0,0
1780278280311837165,clock_gettime,node,170295,0,0
1780278280311837862,clock_gettime,node,170295,0,0
1780278280311838699,epoll_wait,node,170295,0,0
1780278280311839833,epoll_wait,node,170295,0,0
1780278280311840520,clock_gettime,node,170295,0,0
1780278280311841226,clock_gettime,node,170295,0,0
1780278280311841933,read,node,170295,0,0
1780278280311843057,read,node,170295,0,0
1780278280311848401,futex,node,170295,0,0
1780278280311862202,futex,node,170295,0,0
1780278280311865217,clock_gettime,node,170295,0,0
